DATE,COURSE,STUDY LOCATION,TOTAL MINUTES STUDIED,09.00 - 12.00,12.00 - 17.00,17.00 - 21.00,21.00 - 00.00,00.00 - 03.00
7.10.2024,CS300,,0,0,0,0,0,0
8.10.2024,CS300,,0,0,0,0,0,0
9.10.2024,CS300,Room,159,43,76,38,2,0
10.10.2024,CS300,,0,0,0,0,0,0
11.10.2024,CS300,,0,0,0,0,0,0
12.10.2024,CS300,,0,0,0,0,0,0
13.10.2024,CS300,,0,0,0,0,0,0
14.10.2024,CS300,Room,62,31,30,1,0,0
15.10.2024,CS300,,0,0,0,0,0,0
16.10.2024,CS300,IC,150,142,8,0,0,0
17.10.2024,CS300,,0,0,0,0,0,0
18.10.2024,CS300,,0,0,0,0,0,0
19.10.2024,CS300,,0,0,0,0,0,0
20.10.2024,CS300,,0,0,0,0,0,0
21.10.2024,CS300,Room,69,54,15,0,0,0
22.10.2024,CS300,,0,0,0,0,0,0
23.10.2024,CS300,,0,0,0,0,0,0
24.10.2024,CS300,,0,0,0,0,0,0
25.10.2024,CS300,,0,0,0,0,0,0
26.10.2024,CS300,,0,0,0,0,0,0
27.10.2024,CS300,,0,0,0,0,0,0
28.10.2024,CS300,,0,0,0,0,0,0
29.10.2024,CS300,,0,0,0,0,0,0
30.10.2024,CS300,,0,0,0,0,0,0
31.10.2024,CS300,Room,99,80,19,0,0,0
1.11.2024,CS300,,0,0,0,0,0,0
2.11.2024,CS300,,0,0,0,0,0,0
3.11.2024,CS300,,0,0,0,0,0,0
4.11.2024,CS300,,0,0,0,0,0,0
5.11.2024,CS300,Room,92,43,33,16,0,0
6.11.2024,CS300,Room,132,127,5,0,0,0
7.11.2024,CS300,IC,30,0,30,0,0,0
8.11.2024,CS300,,0,0,0,0,0,0
9.11.2024,CS300,,0,0,0,0,0,0
10.11.2024,CS300,,0,0,0,0,0,0
11.11.2024,CS300,IC,105,68,35,2,0,0
12.11.2024,CS300,IC,177,139,34,4,0,0
13.11.2024,CS300,,0,0,0,0,0,0
14.11.2024,CS300,,0,0,0,0,0,0
15.11.2024,CS300,IC,86,60,26,0,0,0
16.11.2024,CS300,,0,0,0,0,0,0
17.11.2024,CS300,,0,0,0,0,0,0
18.11.2024,CS300,Room,104,86,18,0,0,0
19.11.2024,CS300,Room,184,50,104,30,0,0
20.11.2024,CS300,,0,0,0,0,0,0
21.11.2024,CS300,,0,0,0,0,0,0
22.11.2024,CS300,Room,229,89,83,45,12,0
23.11.2024,CS300,Room,285,130,45,95,15,0
24.11.2024,CS300,,0,0,0,0,0,0
25.11.2024,CS300,,0,0,0,0,0,0
26.11.2024,CS300,,0,0,0,0,0,0
27.11.2024,CS300,,0,0,0,0,0,0
28.11.2024,CS300,,0,0,0,0,0,0
29.11.2024,CS300,,0,0,0,0,0,0
30.11.2024,CS300,,0,0,0,0,0,0
1.12.2024,CS300,,0,0,0,0,0,0
2.12.2024,CS300,,0,0,0,0,0,0
3.12.2024,CS300,,0,0,0,0,0,0
4.12.2024,CS300,IC,110,104,6,0,0,0
5.12.2024,CS300,,0,0,0,0,0,0
6.12.2024,CS300,,0,0,0,0,0,0
7.12.2024,CS300,,0,0,0,0,0,0
8.12.2024,CS300,,0,0,0,0,0,0
9.12.2024,CS300,IC,140,0,0,0,20,120
10.12.2024,CS300,Room,127,110,17,0,0,0
11.12.2024,CS300,IC,58,53,5,0,0,0
12.12.2024,CS300,Room,87,32,43,12,0,0
13.12.2024,CS300,IC,51,39,12,0,0,0
14.12.2024,CS300,,0,0,0,0,0,0
15.12.2024,CS300,,0,0,0,0,0,0
16.12.2024,CS300,IC,37,35,2,0,0,0
17.12.2024,CS300,,0,0,0,0,0,0
18.12.2024,CS300,,0,0,0,0,0,0
19.12.2024,CS300,,0,0,0,0,0,0
20.12.2024,CS300,,0,0,0,0,0,0
21.12.2024,CS300,,0,0,0,0,0,0
22.12.2024,CS300,,0,0,0,0,0,0
23.12.2024,CS300,,0,0,0,0,0,0
24.12.2024,CS300,IC,35,0,0,0,35,0
25.12.2024,CS300,IC,228,5,100,123,0,0
26.12.2024,CS300,IC,253,0,118,135,0,0
27.12.2024,CS300,,0,0,0,0,0,0
28.12.2024,CS300,,0,0,0,0,0,0
29.12.2024,CS300,,0,0,0,0,0,0
30.12.2024,CS300,,0,0,0,0,0,0
31.12.2024,CS300,,0,0,0,0,0,0
1.01.2025,CS300,,0,0,0,0,0,0
2.01.2025,CS300,,0,0,0,0,0,0
3.01.2025,CS300,Room,107,0,0,0,0,107
4.01.2025,CS300,Room,402,0,0,197,58,147
5.01.2025,CS300,,0,0,0,0,0,0
6.01.2025,CS300,,0,0,0,0,0,0
