DATE,COURSE,STUDY LOCATION,TOTAL MINUTES STUDIED,09.00 - 12.00,12.00 - 17.00,17.00 - 21.00,21.00 - 00.00,00.00 - 03.00
7.10.2024,DSA210,IC,58,56,2,0,0,0
8.10.2024,DSA210,IC,179,162,17,0,0,0
9.10.2024,DSA210,,0,0,0,0,0,0
10.10.2024,DSA210,,0,0,0,0,0,0
11.10.2024,DSA210,,0,0,0,0,0,0
12.10.2024,DSA210,,0,0,0,0,0,0
13.10.2024,DSA210,Room,52,30,22,0,0,0
14.10.2024,DSA210,,0,0,0,0,0,0
15.10.2024,DSA210,,0,0,0,0,0,0
16.10.2024,DSA210,,0,0,0,0,0,0
17.10.2024,DSA210,,0,0,0,0,0,0
18.10.2024,DSA210,,0,0,0,0,0,0
19.10.2024,DSA210,Room,121,96,25,0,0,0
20.10.2024,DSA210,Room,110,68,41,1,0,0
21.10.2024,DSA210,Room,149,70,45,34,0,0
22.10.2024,DSA210,,0,0,0,0,0,0
23.10.2024,DSA210,,0,0,0,0,0,0
24.10.2024,DSA210,,0,0,0,0,0,0
25.10.2024,DSA210,Room,77,67,10,0,0,0
26.10.2024,DSA210,Room,118,37,77,4,0,0
27.10.2024,DSA210,,0,0,0,0,0,0
28.10.2024,DSA210,,0,0,0,0,0,0
29.10.2024,DSA210,,0,0,0,0,0,0
30.10.2024,DSA210,,0,0,0,0,0,0
31.10.2024,DSA210,,0,0,0,0,0,0
1.11.2024,DSA210,IC,46,40,6,0,0,0
2.11.2024,DSA210,,0,0,0,0,0,0
3.11.2024,DSA210,,0,0,0,0,0,0
4.11.2024,DSA210,,0,0,0,0,0,0
5.11.2024,DSA210,,0,0,0,0,0,0
6.11.2024,DSA210,,0,0,0,0,0,0
7.11.2024,DSA210,IC,268,179,72,17,0,0
8.11.2024,DSA210,,0,0,0,0,0,0
9.11.2024,DSA210,IC,221,88,116,17,0,0
10.11.2024,DSA210,,0,0,0,0,0,0
11.11.2024,DSA210,,0,0,0,0,0,0
12.11.2024,DSA210,,0,0,0,0,0,0
13.11.2024,DSA210,,0,0,0,0,0,0
14.11.2024,DSA210,,0,0,0,0,0,0
15.11.2024,DSA210,,0,0,0,0,0,0
16.11.2024,DSA210,,0,0,0,0,0,0
17.11.2024,DSA210,,0,0,0,0,0,0
18.11.2024,DSA210,,0,0,0,0,0,0
19.11.2024,DSA210,,0,0,0,0,0,0
20.11.2024,DSA210,,0,0,0,0,0,0
21.11.2024,DSA210,,0,0,0,0,0,0
22.11.2024,DSA210,,0,0,0,0,0,0
23.11.2024,DSA210,,0,0,0,0,0,0
24.11.2024,DSA210,,0,0,0,0,0,0
25.11.2024,DSA210,,0,0,0,0,0,0
26.11.2024,DSA210,,0,0,0,0,0,0
27.11.2024,DSA210,,0,0,0,0,0,0
28.11.2024,DSA210,IC,125,115,10,0,0,0
29.11.2024,DSA210,,0,0,0,0,0,0
30.11.2024,DSA210,,0,0,0,0,0,0
1.12.2024,DSA210,,0,0,0,0,0,0
2.12.2024,DSA210,Room,128,48,48,31,1,0
3.12.2024,DSA210,,0,0,0,0,0,0
4.12.2024,DSA210,IC,56,32,24,0,0,0
5.12.2024,DSA210,,0,0,0,0,0,0
6.12.2024,DSA210,,0,0,0,0,0,0
7.12.2024,DSA210,,0,0,0,0,0,0
8.12.2024,DSA210,Room,52,0,0,40,12,0
9.12.2024,DSA210,Room,165,51,99,15,0,0
10.12.2024,DSA210,,0,0,0,0,0,0
11.12.2024,DSA210,,0,0,0,0,0,0
12.12.2024,DSA210,IC,180,71,52,41,16,0
13.12.2024,DSA210,,0,0,0,0,0,0
14.12.2024,DSA210,,0,0,0,0,0,0
15.12.2024,DSA210,Room,125,105,20,0,0,0
16.12.2024,DSA210,,0,0,0,0,0,0
17.12.2024,DSA210,,0,0,0,0,0,0
18.12.2024,DSA210,,0,0,0,0,0,0
19.12.2024,DSA210,IC,133,0,0,0,120,13
20.12.2024,DSA210,IC,92,80,12,0,0,0
21.12.2024,DSA210,,0,0,0,0,0,0
22.12.2024,DSA210,IC,70,36,30,4,0,0
23.12.2024,DSA210,,0,0,0,0,0,0
24.12.2024,DSA210,,0,0,0,0,0,0
25.12.2024,DSA210,,0,0,0,0,0,0
26.12.2024,DSA210,,0,0,0,0,0,0
27.12.2024,DSA210,,0,0,0,0,0,0
28.12.2024,DSA210,,0,0,0,0,0,0
29.12.2024,DSA210,,0,0,0,0,0,0
30.12.2024,DSA210,IC,231,0,100,11,120,0
31.12.2024,DSA210,Room,170,20,50,100,0,0
1.01.2025,DSA210,IC,376,0,60,80,132,104
2.01.2025,DSA210,,0,0,0,0,0,0
3.01.2025,DSA210,,0,0,0,0,0,0
4.01.2025,DSA210,,0,0,0,0,0,0
5.01.2025,DSA210,,0,0,0,0,0,0
6.01.2025,DSA210,,0,0,0,0,0,0
