DATE,COURSE,STUDY LOCATION,TOTAL MINUTES STUDIED,09.00 - 12.00,12.00 - 17.00,17.00 - 21.00,21.00 - 00.00,00.00 - 03.00
7.10.2024,MATH204,Room,30,30,0,0,0,0
8.10.2024,MATH204,,0,0,0,0,0,0
9.10.2024,MATH204,,0,0,0,0,0,0
10.10.2024,MATH204,Room,65,0,0,0,65,0
11.10.2024,MATH204,,0,0,0,0,0,0
12.10.2024,MATH204,,0,0,0,0,0,0
13.10.2024,MATH204,,0,0,0,0,0,0
14.10.2024,MATH204,,0,0,0,0,0,0
15.10.2024,MATH204,IC,110,0,0,20,90,0
16.10.2024,MATH204,,0,0,0,0,0,0
17.10.2024,MATH204,,0,0,0,0,0,0
18.10.2024,MATH204,IC,70,57,13,0,0,0
19.10.2024,MATH204,,0,0,0,0,0,0
20.10.2024,MATH204,,0,0,0,0,0,0
21.10.2024,MATH204,,0,0,0,0,0,0
22.10.2024,MATH204,,0,0,0,0,0,0
23.10.2024,MATH204,,0,0,0,0,0,0
24.10.2024,MATH204,,0,0,0,0,0,0
25.10.2024,MATH204,IC,59,0,0,38,21,0
26.10.2024,MATH204,Room,55,53,2,0,0,0
27.10.2024,MATH204,,0,0,0,0,0,0
28.10.2024,MATH204,,0,0,0,0,0,0
29.10.2024,MATH204,,0,0,0,0,0,0
30.10.2024,MATH204,,0,0,0,0,0,0
31.10.2024,MATH204,,0,0,0,0,0,0
1.11.2024,MATH204,IC,120,0,0,0,120,0
2.11.2024,MATH204,Room,189,0,0,0,55,134
3.11.2024,MATH204,,0,0,0,0,0,0
4.11.2024,MATH204,,0,0,0,0,0,0
5.11.2024,MATH204,,0,0,0,0,0,0
6.11.2024,MATH204,,0,0,0,0,0,0
7.11.2024,MATH204,,0,0,0,0,0,0
8.11.2024,MATH204,,0,0,0,0,0,0
9.11.2024,MATH204,,0,0,0,0,0,0
10.11.2024,MATH204,,0,0,0,0,0,0
11.11.2024,MATH204,,0,0,0,0,0,0
12.11.2024,MATH204,,0,0,0,0,0,0
13.11.2024,MATH204,IC,160,66,61,33,0,0
14.11.2024,MATH204,,0,0,0,0,0,0
15.11.2024,MATH204,,0,0,0,0,0,0
16.11.2024,MATH204,,0,0,0,0,0,0
17.11.2024,MATH204,IC,74,71,3,0,0,0
18.11.2024,MATH204,,0,0,0,0,0,0
19.11.2024,MATH204,,0,0,0,0,0,0
20.11.2024,MATH204,IC,37,30,7,0,0,0
21.11.2024,MATH204,Room,111,0,111,0,0,0
22.11.2024,MATH204,,0,0,0,0,0,0
23.11.2024,MATH204,Room,20,20,0,0,0,0
24.11.2024,MATH204,,0,0,0,0,0,0
25.11.2024,MATH204,,0,0,0,0,0,0
26.11.2024,MATH204,,0,0,0,0,0,0
27.11.2024,MATH204,,0,0,0,0,0,0
28.11.2024,MATH204,Room,236,138,63,35,0,0
29.11.2024,MATH204,,0,0,0,0,0,0
30.11.2024,MATH204,,0,0,0,0,0,0
1.12.2024,MATH204,,0,0,0,0,0,0
2.12.2024,MATH204,,0,0,0,0,0,0
3.12.2024,MATH204,,0,0,0,0,0,0
4.12.2024,MATH204,,0,0,0,0,0,0
5.12.2024,MATH204,,0,0,0,0,0,0
6.12.2024,MATH204,,0,0,0,0,0,0
7.12.2024,MATH204,,0,0,0,0,0,0
8.12.2024,MATH204,,0,0,0,0,0,0
9.12.2024,MATH204,Room,103,0,0,103,0,0
10.12.2024,MATH204,,0,0,0,0,0,0
11.12.2024,MATH204,,0,0,0,0,0,0
12.12.2024,MATH204,,0,0,0,0,0,0
13.12.2024,MATH204,,0,0,0,0,0,0
14.12.2024,MATH204,,0,0,0,0,0,0
15.12.2024,MATH204,,0,0,0,0,0,0
16.12.2024,MATH204,,0,0,0,0,0,0
17.12.2024,MATH204,Room,147,97,50,0,0,0
18.12.2024,MATH204,,0,0,0,0,0,0
19.12.2024,MATH204,,0,0,0,0,0,0
20.12.2024,MATH204,IC,125,60,35,30,0,0
21.12.2024,MATH204,,0,0,0,0,0,0
22.12.2024,MATH204,,0,0,0,0,0,0
23.12.2024,MATH204,,0,0,0,0,0,0
24.12.2024,MATH204,IC,101,56,43,2,0,0
25.12.2024,MATH204,,0,0,0,0,0,0
26.12.2024,MATH204,,0,0,0,0,0,0
27.12.2024,MATH204,IC,145,0,42,103,0,0
28.12.2024,MATH204,IC,200,0,0,0,147,53
29.12.2024,MATH204,IC,79,0,0,79,0,0
30.12.2024,MATH204,,0,0,0,0,0,0
31.12.2024,MATH204,,0,0,0,0,0,0
1.01.2025,MATH204,,0,0,0,0,0,0
2.01.2025,MATH204,,0,0,0,0,0,0
3.01.2025,MATH204,IC,317,0,58,140,119,0
4.01.2025,MATH204,,0,0,0,0,0,0
5.01.2025,MATH204,,0,0,0,0,0,0
6.01.2025,MATH204,,0,0,0,0,0,0
